STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,DAPR,FMTM,MDPR,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT16,WT17,WT18,WT19,WT21,WT22
US1SCAK0004,"NORTH AUGUSTA 4.2 NE, SC US",33.559137,-81.902882,74.7,1/4/2009,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1SCAK0004,"NORTH AUGUSTA 4.2 NE, SC US",33.559137,-81.902882,74.7,1/7/2009,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1SCAK0004,"NORTH AUGUSTA 4.2 NE, SC US",33.559137,-81.902882,74.7,1/11/2009,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1SCAK0004,"NORTH AUGUSTA 4.2 NE, SC US",33.559137,-81.902882,74.7,1/18/2009,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1SCAK0004,"NORTH AUGUSTA 4.2 NE, SC US",33.559137,-81.902882,74.7,1/20/2009,,,,,,0.04,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1SCAK0004,"NORTH AUGUSTA 4.2 NE, SC US",33.559137,-81.902882,74.7,1/24/2009,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1SCAK0004,"NORTH AUGUSTA 4.2 NE, SC US",33.559137,-81.902882,74.7,1/26/2009,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1SCAK0004,"NORTH AUGUSTA 4.2 NE, SC US",33.559137,-81.902882,74.7,1/28/2009,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1SCAK0004,"NORTH AUGUSTA 4.2 NE, SC US",33.559137,-81.902882,74.7,2/2/2009,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1SCAK0004,"NORTH AUGUSTA 4.2 NE, SC US",33.559137,-81.902882,74.7,2/11/2009,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1SCAK0004,"NORTH AUGUSTA 4.2 NE, SC US",33.559137,-81.902882,74.7,2/14/2009,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1SCAK0004,"NORTH AUGUSTA 4.2 NE, SC US",33.559137,-81.902882,74.7,2/16/2009,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
